FIPS,Other Christian Denominations_adh,Mainline Protestant_adh,Liturgical/Traditional_adh,Other_adh,Evangelical/Fundamentalist_adh,Judaism_adh,Hinduism_adh,Buddhism_adh,Islam_adh
48301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15005,268.29,25.61,73.17,170.73000000000002,18.29,0.0,0.0,0.0,0.0
48269,0.0,0.0,0.0,75.47,376.98,0.0,0.0,0.0,0.0
48261,694.54,63.14,189.42000000000002,441.98,0.0,0.0,0.0,0.0,0.0
31117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31009,0.0,23.9,0.0,34.8,0.0,0.0,0.0,0.0,0.0
31005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30069,55.44,5.04,15.120000000000001,35.28,0.0,0.0,0.0,0.0,0.0
48311,366.63,33.33,99.99,233.31,21.5,0.0,0.0,0.0,0.0
31115,0.0,0.0,0.0,0.0,10.379999999999999,0.0,0.0,0.0,0.0
31075,241.69000000000003,58.03,64.80000000000001,167.57000000000002,0.0,0.0,0.0,0.0,0.0
48033,0.0,0.0,0.0,0.0,62.44,0.0,0.0,0.0,0.0
35021,828.74,75.34,226.02,527.38,4.26,0.0,0.0,0.0,70.47
2282,199.43,18.13,54.39,126.91,28.56,0.0,0.0,0.0,0.0
31171,200.64,34.98,54.72,127.67999999999999,29.160000000000004,0.0,0.0,0.0,0.0
31007,0.0,36.66,0.0,14.84,0.0,0.0,0.0,0.0,0.0
8111,37.4,29.22,10.2,23.799999999999997,6.529999999999999,0.0,0.0,0.0,0.0
38087,95.04,44.34,25.92,60.480000000000004,0.0,0.0,0.0,0.0,0.0
31091,219.67,60.14,59.91,160.89,9.27,0.0,0.0,0.0,0.0
31113,895.6200000000001,81.42,244.26,569.94,0.0,0.0,0.0,0.0,0.0
32009,113.19,10.29,30.869999999999997,72.03,3.16,0.0,0.0,0.0,0.0
48263,73.03999999999999,6.64,19.919999999999998,46.48,132.52,0.0,0.0,0.0,0.0
48443,523.9300000000001,47.63,142.89000000000001,353.15,71.74000000000001,0.0,0.0,0.0,0.0
30103,282.91999999999996,25.72,77.16,180.04,4.46,0.0,0.0,0.0,0.0
