FIPS,POP2020,Other Christian Denominations_adh,Mainline Protestant_adh,Liturgical/Traditional_adh,Other_adh,Evangelical/Fundamentalist_adh,Judaism_adh,Hinduism_adh,Buddhism_adh,Islam_adh
13265,1559,0.0,10.53,0.0,0.0,19.05,0.0,0.0,0.0,0.0
20101,1574,139.81,12.71,38.13,96.59,9.72,0.0,0.0,0.0,0.0
2068,1619,48.95,4.45,13.350000000000001,44.120000000000005,13.35,0.0,0.0,0.0,0.0
31057,1654,69.19,70.25,18.87,44.03,2.84,0.0,0.0,0.0,0.0
30019,1661,203.94,34.55,55.62,129.78,8.129999999999999,0.0,0.0,0.0,0.0
46073,1663,201.08,62.29999999999999,54.84,135.54000000000002,0.0,0.0,0.0,0.0,0.0
20033,1689,22.769999999999996,2.07,6.209999999999999,20.409999999999997,44.879999999999995,0.0,0.0,0.0,0.0
30075,1694,110.99,24.79,30.27,70.63,2.82,0.0,0.0,0.0,0.0
35011,1698,589.1700000000001,53.24,159.72,380.91999999999996,80.91999999999999,0.0,0.0,0.0,0.0
20083,1723,204.27,18.57,55.71,129.99,0.64,0.0,0.0,0.0,0.0
30055,1729,95.47999999999999,39.160000000000004,26.04,64.4,16.89,0.0,0.0,0.0,0.0
38033,1736,260.48,56.8,71.03999999999999,165.76,0.0,0.0,0.0,0.0,0.0
8017,1748,285.66999999999996,26.769999999999996,77.91,185.79,8.52,0.0,0.0,0.0,0.0
48359,1758,97.57,8.87,26.61,70.61999999999999,26.540000000000003,0.0,0.0,0.0,0.0
48125,1770,184.58,16.78,50.34,123.67000000000002,102.98,0.0,0.0,0.0,0.0
38091,1798,98.44999999999999,128.09,26.849999999999998,62.64999999999999,6.51,0.0,0.0,0.0,0.0
31015,1810,385.88,64.14,105.24,251.07999999999998,5.64,0.0,0.0,0.0,0.0
31071,1813,238.48,34.59,65.03999999999999,151.76,30.169999999999998,0.0,0.0,0.0,0.0
