FIPS,POP2020,Other Christian Denominations_adh,Mainline Protestant_adh,Liturgical/Traditional_adh,Other_adh,Evangelical/Fundamentalist_adh,Judaism_adh,Hinduism_adh,Buddhism_adh,Islam_adh,total_adh
30011,1415,2.9,10.74,0.0,10.6,3.46,0.0,0.0,0.0,0.0,27.700000000000003
48137,1422,34.74,2.95,0.0,28.13,24.33,0.0,0.0,0.0,0.0,90.15
48045,1435,7.32,0.0,0.0,0.0,59.86,0.0,0.0,0.0,0.0,67.18
49031,1438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48447,1440,0.0,0.0,0.0,0.0,93.33,0.0,0.0,0.0,0.0,93.33
8061,1446,7.19,0.0,0.0,121.72,18.54,0.0,0.0,0.0,0.0,147.45
46119,1446,16.6,10.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.25
41069,1451,10.059999999999999,0.0,0.0,2.76,6.06,0.0,0.0,0.0,0.0,18.88
2164,1476,0.0,0.0,44.92,0.0,0.0,0.0,0.0,0.0,0.0,44.92
20199,1512,10.12,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.309999999999999
48235,1513,16.85,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,21.150000000000002
13265,1559,0.0,10.01,0.0,0.0,19.05,0.0,0.0,0.0,0.0,29.060000000000002
20101,1574,12.71,0.0,0.0,7.62,11.75,0.0,0.0,0.0,0.0,32.08
2068,1619,4.45,0.0,0.0,12.97,7.289999999999999,0.0,0.0,0.0,0.0,24.71
31057,1654,6.29,32.71,0.0,0.0,2.84,0.0,0.0,0.0,0.0,41.84
30019,1661,18.54,16.01,0.0,0.0,2.71,0.0,0.0,0.0,0.0,37.26
46073,1663,18.28,26.279999999999998,0.0,7.58,0.0,0.0,0.0,0.0,0.0,52.14
20033,1689,2.07,0.0,0.0,5.92,34.46,0.0,0.0,0.0,0.0,42.45
30075,1694,10.09,8.44,0.0,0.0,0.94,0.0,0.0,0.0,0.0,19.470000000000002
35011,1698,56.77,0.0,0.0,8.24,45.58,0.0,0.0,0.0,0.0,110.59
20083,1723,18.57,4.88,0.0,0.0,0.64,0.0,0.0,0.0,0.0,24.09
30055,1729,8.68,16.02,0.0,3.64,8.91,0.0,0.0,0.0,0.0,37.25
38033,1736,23.68,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.480000000000004
8017,1748,25.97,0.4,0.0,4.0,8.52,0.0,0.0,0.0,0.0,38.89
48359,1758,8.87,0.0,0.0,8.53,11.84,0.0,0.0,0.0,0.0,29.24
48125,1770,16.78,0.0,0.0,6.21,42.54,0.0,0.0,0.0,0.0,65.53
38091,1798,8.95,59.57,0.0,0.0,2.17,0.0,0.0,0.0,0.0,70.69
31015,1810,35.08,19.17,0.0,5.52,1.88,0.0,0.0,0.0,0.0,61.65
31071,1813,21.68,12.91,0.0,0.0,25.65,0.0,0.0,0.0,0.0,60.24
31049,1838,11.97,7.24,0.0,0.0,7.45,0.0,0.0,0.0,0.0,26.66
48011,1848,0.0,0.0,0.0,16.23,11.75,0.0,0.0,0.0,0.0,27.98
32011,1855,12.940000000000001,0.0,0.0,0.0,10.67,0.0,0.0,0.0,0.0,23.61
41055,1870,5.29,2.73,0.0,0.0,4.0600000000000005,0.0,0.0,0.0,0.0,12.08
46055,1872,26.76,13.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.59
31069,1874,13.5,11.04,0.0,0.0,3.4699999999999998,0.0,0.0,0.0,0.0,28.009999999999998
38047,1876,64.55,24.369999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.91999999999999
38065,1877,33.72,19.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269999999999996
31073,1893,6.02,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.02
46095,1918,14.7,6.1,0.0,0.0,2.87,0.0,0.0,0.0,0.0,23.669999999999998
30059,1927,6.54,8.09,0.0,5.24,2.59,0.0,0.0,0.0,0.0,22.459999999999997
46017,1948,68.17,8.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.59
30051,1959,14.34,13.52,0.0,35.27,4.65,0.0,0.0,0.0,0.0,67.78
48327,1962,11.62,4.029999999999999,0.0,15.8,7.49,0.0,0.0,0.0,0.0,38.94
29227,1973,0.0,0.0,0.0,0.0,139.73,0.0,0.0,0.0,0.0,139.73
20025,1991,6.28,1.96,0.0,8.04,12.96,0.0,0.0,0.0,0.0,29.240000000000002
41021,1995,5.41,3.56,0.0,0.0,2.81,0.0,0.0,0.0,0.0,11.780000000000001
48243,1996,15.03,4.46,0.0,2.51,13.879999999999999,0.0,0.0,0.0,0.0,35.879999999999995
30045,2023,13.99,1.83,0.0,4.15,0.0,0.0,0.0,0.0,0.0,19.97
26083,2046,9.63,14.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.240000000000002
30107,2069,16.87,6.43,0.0,22.14,9.52,0.0,0.0,0.0,0.0,54.959999999999994
2100,2080,7.02,2.45,0.0,5.77,5.33,0.0,0.0,0.0,0.0,20.57
20187,2084,25.1,0.0,0.0,1.92,5.66,0.0,0.0,0.0,0.0,32.68000000000001
46049,2125,26.82,8.38,0.0,18.16,0.0,0.0,0.0,0.0,0.0,53.36
2275,2127,8.139999999999999,4.619999999999999,0.0,0.0,13.209999999999999,0.0,0.0,0.0,0.0,25.97
20203,2152,19.19,0.88,0.0,0.0,3.02,0.0,0.0,0.0,0.0,23.09
38095,2162,17.62,20.95,0.0,0.0,3.38,0.0,0.0,0.0,0.0,41.95
31077,2188,75.42,12.57,0.0,4.57,0.0,0.0,0.0,0.0,0.0,92.56
48109,2188,41.18000000000001,0.0,0.0,0.0,31.67,0.0,0.0,0.0,0.0,72.85000000000001
21201,2193,0.0,0.0,0.0,0.0,14.040000000000001,0.0,0.0,0.0,0.0,14.040000000000001
38023,2195,9.79,46.83,0.0,0.0,3.6,0.0,0.0,0.0,0.0,60.22
38001,2200,12.18,25.86,0.0,0.0,22.27,0.0,0.0,0.0,0.0,60.31
38013,2201,22.81,57.88999999999999,0.0,0.0,3.23,0.0,0.0,0.0,0.0,83.92999999999999
51091,2232,14.29,8.92,0.0,6.72,3.58,0.0,0.0,0.0,0.0,33.51
13239,2235,0.0,10.2,0.0,0.0,26.75,0.0,0.0,0.0,0.0,36.95
38075,2282,13.23,63.669999999999995,0.0,0.0,1.67,0.0,0.0,0.0,0.0,78.57
53023,2286,16.75,2.01,0.0,0.0,16.439999999999998,0.0,0.0,0.0,0.0,35.199999999999996
