county_fip,democrat_votes,republican_votes,other_votes
22113,5009,21930,27324
22115,2898,14107,17268
22117,5970,13307,19513
22119,6172,11830,18216
22121,6200,7684,14097
22123,710,4317,5052
22125,2298,3863,6268
22127,1543,4619,6225
23001,27617,29268,59361
23003,13956,21080,36210
23005,128759,59584,195914
23007,8069,8754,17599
23009,19369,14982,35676
23011,34902,34721,72615
23013,15110,9982,26032
23015,12684,10256,23857
23017,14755,17698,33810
23019,37713,44825,86133
23021,3517,6143,9996
23023,13528,9755,24280
23025,10199,16644,27873
23027,12345,11196,24566
23029,6761,10194,17570
23031,71189,54817,131042
24001,9158,20886,30641
24003,172823,127821,309617
24005,258409,146202,414932
24009,22587,25346,49113
24011,5095,10283,15794
24013,36456,60218,100327
24015,16809,29439,47462
24017,62171,25579,89498
24019,6857,8764,15977
24021,77675,63682,145615
24023,3281,12002,15611
24025,63095,80930,148186
24027,129433,48390,183062
24029,5329,5195,10794
24031,419569,101222,533743
24033,379208,37090,424855
24035,10709,18741,30290
24037,23138,30826,55665
24039,4241,5739,10147
24041,11062,10946,22555
24043,26044,40224,67779
24045,22054,22944,46216
24047,12560,18571,31691
24510,207260,25374,237461
25001,91994,55311,151512
25003,51705,18064,71771
25005,153377,119872,281364
25007,9914,2631,12873
25009,267198,144837,424599
25011,30030,11201,43003
25013,125948,87318,220793
25015,63362,22281,88332
25017,617196,226956,869347
25019,5241,1914,7338
25021,273312,125294,411042
25023,173630,121227,303870
25025,270522,58613,337240
25027,248773,171683,434921
26001,2142,4848,7064
26003,2053,3014,5128
26005,24449,41392,67094
26007,6000,10686,16969
26009,5960,9748,15949
26011,2774,5928,8831
26013,1478,2512,4038
26015,11797,23471,35905
26017,26151,33125,60255
26019,5480,6601,12262
26021,37438,43519,82391
26023,6159,14064,20536
26025,28877,36221,66281
26027,9130,16699,26216
26029,6939,9841,17000
26031,5437,10186,15868
26033,6648,10681,17642
26035,5199,10861,16281
26037,21968,25098,47927
26039,2672,5087,7861
26041,7606,13207,21151
26043,4744,9617,14589
26045,31299,31798,64327
26047,9662,12135,22177
26049,119390,98714,221360
26051,4524,9893,14603
26053,3570,4600,8266
26055,28683,30502,60236
26057,6693,12102,19127
26059,5883,17037,23302
26061,7750,10378,18501
26063,5490,12731,18437
26065,94212,47639,144550
26067,10901,20657,32209
26069,5373,9759,15363
26071,2493,4216,6789
26073,14072,14815,29421
26075,31995,47372,80861
26077,83686,56823,143414
26079,3002,7436,10631
26081,187915,165741,361048
26083,672,862,1557
26085,2288,3946,6323
26087,16367,35482,52650
26089,8795,7916,16900
26091,20918,31541,53375
26093,48220,76982,127197
26095,842,2109,3001
26097,2632,4304,7015
26099,223952,263863,494256
26101,6107,8321,14655
26103,20465,16286,37462
26105,6802,10207,17254
26107,7375,13267,21049
26109,4316,8117,12607
26111,20493,27675,49088
26113,1967,6648,8755
26115,32975,52710,87148
26117,9703,21815,32100
26119,1628,4171,5859
26121,45643,45133,92444
26123,7873,18857,27161
26125,434148,325971,770351
26127,4944,8892,14062
26129,3475,8253,11907
26131,1391,2358,3804
26133,3214,8928,12329
26135,1342,3466,4874
26137,4743,9779,14757
26139,64705,100913,168713
26141,2911,5342,8344
26143,5166,9670,15018
26145,51088,50785,103349
26147,31363,59185,92064
26149,9262,18127,27936
26151,5966,16194,22446
26153,1589,3090,4745
26155,15347,23149,39224
26157,8712,20297,29445
26159,16803,21591,39066
26161,157136,56241,216418
26163,597170,264553,872469
26165,5838,12102,18265
27001,3607,6258,10025
27003,100893,104902,211132
27005,6589,12438,19401
27007,11426,12188,24189
27009,7280,14382,22260
27011,1053,1863,2974
27013,18330,16731,36051
27015,4753,9552,14635
27017,10098,9791,20369
27019,30774,34009,66361
27021,6342,11620,18289
27023,2226,4250,6611
27025,11806,21916,34570
27027,16357,15043,32239
27029,1260,3372,4708
27031,2496,1203,3806
27033,1834,4165,6107
27035,13726,25676,40173
27037,146155,109638,262259
27039,4079,7783,12187
27041,7868,15799,24165
27043,2531,5191,7914
27045,4551,7301,12141
27047,6889,9578,16818
27049,11806,16052,28636
27051,1300,2269,3654
27053,532623,205973,755969
27055,4853,6334,11440
27057,4462,8202,12965
27059,7138,16491,24235
27061,10786,15239,26561
27063,1745,3948,5819
27065,2774,6278,9242
27067,8440,14437,23367
27069,1006,1546,2639
27071,2659,4131,6922
27073,1446,2528,4040
27075,3647,3393,7202
27077,671,1704,2408
27079,5672,10775,16818
27081,937,2121,3115
27083,4634,7979,12893
27085,6413,13986,20933
27087,1112,1142,2304
27089,1295,3721,5113
27091,3305,7480,11009
27093,3867,9359,13529
27095,4404,9952,14689
27097,4367,14821,19558
27099,8899,10025,19345
27101,1449,3363,4896
27103,9622,9018,19125
27105,2933,5600,8715
27107,1404,1953,3441
27109,49491,39692,91385
27111,11958,23800,36399
27113,2568,4532,7277
27115,5419,10256,16001
27117,1306,3553,4940
27119,5439,9865,15594
27121,2477,4417,7022
27123,211620,77376,295977
27125,691,1454,2196
27127,2355,5771,8284
27129,2496,5467,8128
27131,17402,17464,35686
27133,1556,3583,5240
27135,2188,6065,8421
27137,67704,49017,119531
27139,40040,45872,87965
27141,18065,36222,55612
27143,2417,5864,8452
27145,31879,50959,84835
27147,7917,12656,21128
27149,1922,3044,5085
27151,1784,3316,5193
27153,3286,9753,13257
27155,661,1172,1864
27157,4696,8153,13123
27159,2023,5520,7677
27161,3496,6624,10389
27163,89165,73764,166786
27165,1987,3103,5201
27167,1026,2328,3430
27169,13333,13227,27173
27171,28430,51973,82426
27173,1688,3734,5528
28001,7917,5696,13759
28003,2782,12818,15793
28005,2620,4503,7196
28007,3542,5178,8823
28009,1679,2570,4289
28011,8904,4671,13744
28013,1902,4625,6590
28015,1729,3924,5701
28017,3810,4175,8141
28019,1185,3001,4223
28021,3772,603,4449
28023,2838,5417,8338
28025,5844,4181,10189
28027,6020,2375,8501
28029,6470,6250,12883
28031,3416,5854,9360
28033,28265,46462,76124
28035,13755,17290,31654
28037,1480,2923,4461
28039,1218,9713,11049
28041,966,4794,5812
28043,4734,6081,10911
28045,4504,16132,20957
28047,27728,46822,75768
28049,73550,25141,99995
28051,6588,1369,8115
28053,3016,1118,4189
28055,355,308,676
28057,1249,9438,10819
28059,17375,36295,54543
28061,4341,4302,8736
28063,3327,531,3908
28065,3599,2534,6213
28067,8517,21226,30091
28069,2887,1787,4731
28071,10070,12949,23423
28073,7340,20704,28485
28075,12960,17967,31247
28077,2260,4285,6613
28079,3897,5228,9200
28081,12189,24207,36954
28083,7648,3129,10893
28085,5040,11596,16801
28087,13087,13800,27241
28089,24440,31091,56212
28091,3787,8273,12177
28093,8057,7566,15817
28095,5874,11177,17259
28097,2121,2917,5075
28099,3260,8320,11703
28101,3075,6997,10183
28103,4040,1240,5339
28105,10299,9004,19757
28107,7403,8060,15627
28109,4148,19595,24033
28111,1362,4500,5916
28113,8646,8479,17342
28115,2614,11550,14361
28117,2153,8370,10644
28119,2150,1026,3226
28121,18847,50895,70655
28123,4330,6285,10733
28125,1465,688,2183
28127,4037,7635,11815
28129,1791,6458,8327
28131,1802,5964,7878
28133,6781,2799,9681
28135,3105,2488,5685
28137,4183,8707,13093
28139,1937,8054,10102
28141,1059,7933,9138
28143,2580,926,3562
28145,2160,10373,12683
28147,2835,4220,7119
28149,10442,10365,21053
28151,12503,5300,18008
28153,3624,6307,10056
28155,1043,4291,5395
28157,2749,1324,4127
28159,4040,5112,9236
28161,2785,3671,6535
28163,5496,4832,10436
29001,3710,6413,10336
29003,2351,7255,9752
29005,564,2199,2814
29007,2704,7732,10656
29009,2948,12425,15598
29011,844,5168,6077
29013,1672,6597,8416
29015,2180,8109,10476
29017,750,5167,5983
29019,50064,38646,91168
29021,13445,22450,36598
29023,3301,14602,18141
29025,897,3725,4682
29027,5870,14815,21144
29029,5652,18850,24812
29031,10760,28907,40328
29033,786,3706,4532
29035,418,2451,2897
29037,19052,37197,57408
29039,1145,5788,7044
29041,916,3111,4077
29043,11131,34920,46839
29045,678,2672,3394
29047,59400,64605,126569
29049,2896,7799,10888
29051,12694,26086,39529
29053,2249,6272,8693
29055,2113,8725,10973
29057,656,3414,4119
29059,1380,6619,8104
29061,746,3102,3911
29063,930,3828,4843
29065,1056,5987,7142
29067,1016,5898,7000
29069,2200,8135,10419
29071,14569,38058,53685
29073,1601,6222,7923
29075,613,2581,3237
29077,55068,83630,141800
29079,799,3585,4437
29081,597,3198,3826
29083,2619,8027,10788
29085,1056,3966,5080
29087,338,1976,2343
29089,1413,3553,5092
29091,3218,15181,18650
29093,945,3596,4592
29095,92182,100142,196418
29097,13549,37728,52352
29099,37523,77046,116688
29101,6974,15489,23123
29103,340,1486,1854
29105,2780,13762,16793
29107,4472,12273,17055
29109,3214,14426,17905
29111,984,3553,4609
29113,6607,21848,29018
29115,1275,4363,5726
29117,1410,5267,6758
29119,1439,7465,9053
29121,1662,6076,7836
29123,1019,4584,5676
29125,814,3892,4771
29127,3202,9915,13348
29129,222,1541,1779
29131,2038,10176,12382
29133,1178,3537,4756
29135,1308,5744,7157
29137,936,3477,4483
29139,1208,4465,5772
29141,1924,7442,9487
29143,1748,5447,7250
29145,5818,22120,28405
29147,2853,6865,9893
29149,823,3847,4739
29151,1037,6425,7539
29153,752,4064,4864
29155,1560,4120,5735
29157,1664,7657,9447
29159,4783,13854,19097
29161,5637,13480,19568
29163,1717,5863,7695
29165,27179,28917,57270
29167,2885,11850,15064
29169,3740,10329,14414
29171,361,1984,2361
29173,1205,4396,5662
29175,2485,8018,10744
29177,3109,8345,11649
29179,529,2733,3298
29181,833,4839,5717
29183,89530,128389,222017
29185,988,3932,4974
29186,2713,6630,9484
29187,7044,20511,28001
29189,328151,199493,536446
29195,2904,6451,9519
29197,373,1606,2003
29199,388,1560,1984
29201,3753,13769,17719
29203,706,3165,3906
29205,592,2700,3350
29207,1819,11484,13426
29209,3506,14800,18483
29211,478,1974,2471
29213,5339,20508,26288
29215,1716,9478,11315
29217,1903,7155,9185
29219,4769,13222,18375
29221,1804,8047,9976
29223,845,4987,5878
29225,3573,14880,18779
29227,215,877,1107
29229,1168,7453,8739
29510,110089,21474,133867
30001,1608,3923,5661
30003,2491,2207,4784
30005,1589,1469,3117
30007,835,3173,4097
30009,2421,4468,7052
30011,74,775,864
30013,15456,23315,39885
30015,991,1891,2965
30017,1514,4205,5860
30019,195,799,1014
30021,962,3758,4825
30023,2562,2186,4891
30025,172,1375,1575
30027,1496,4869,6507
30029,20274,38321,59936
30031,37044,31696,70979
30033,41,764,813
30035,3610,1884,5617
30037,78,414,503
30039,638,1419,2102
30041,2981,3957,7182
30043,2625,5345,8151
30045,275,1040,1344
30047,6916,9322,16626
30049,19743,21409,42265
30051,249,821,1083
30053,2835,8672,11747
30055,155,956,1128
30057,1771,4191,6087
30059,258,833,1110
30061,686,1828,2563
30063,43357,26347,71495
30065,413,2423,2881
30067,5280,6025,11566
30069,39,298,348
30071,416,1936,2382
30073,903,2031,2995
30075,154,970,1136
30077,752,2355,3179
30079,126,603,744
30081,8763,19114,28507
30083,875,4800,5798
30085,1910,1996,4017
30087,1199,2486,3773
30089,1820,5660,7622
30091,574,1403,2030
30093,10392,7745,18658
30095,1156,4462,5724
30097,549,1840,2446
30099,1007,2608,3679
30101,467,1596,2119
30103,78,373,460
30105,1030,3135,4261
30107,225,823,1068
30109,77,516,598
30111,30679,50772,83821
31001,4213,10085,14602
31003,452,3093,3583
31005,21,260,284
31007,43,362,410
31009,35,280,317
31011,499,2653,3217
31013,1051,4002,5181
31015,135,1010,1153
31017,191,1470,1679
31019,6350,16640,23589
31021,1063,2580,3731
31023,873,3542,4498
31025,4737,10121,15284
31027,725,4174,4996
31029,226,1740,1993
31031,373,2844,3265
31033,855,3813,4765
31035,632,2848,3558
31037,1025,2636,3717
31039,870,3507,4451
31041,786,5090,5993
31043,2744,3926,6794
31045,1082,2931,4121
31047,2497,6524,9178
31049,141,871,1032
31051,651,2335,3083
31053,5544,10984,16876
31055,150350,119159,274951
31057,105,883,999
31059,693,2359,3134
31061,276,1437,1724
31063,189,1229,1440
31065,399,2163,2601
31067,3385,7445,11068
31069,161,1016,1195
31071,133,933,1075
31073,215,893,1118
31075,20,375,402
31077,229,1016,1258
31079,7681,16189,24374
31081,1118,4309,5533
31083,282,1615,1928
31085,34,494,534
31087,175,1264,1469
31089,686,4769,5537
31091,59,376,442
31093,648,2786,3501
31095,1016,2616,3716
31097,647,1518,2229
31099,701,2822,3604
31101,763,3544,4364
31103,49,476,529
31105,268,1563,1874
31107,905,3721,4697
31109,82293,70092,156091
31111,3692,13071,17107
31113,38,407,450
31115,75,370,454
31117,17,275,302
31119,3478,11940,15765
31121,743,3419,4257
31123,386,2113,2557
31125,359,1437,1828
31127,921,2428,3423
31129,409,1857,2303
31131,2490,5649,8315
31133,322,1071,1429
31135,199,1321,1544
31137,752,4157,5009
31139,480,3462,4006
31141,3260,12186,15673
31143,530,2291,2879
31145,811,4525,5452
31147,996,3073,4126
31149,84,744,841
31151,1986,3631,5770
31153,41206,51979,95673
31155,3331,9108,12735
31157,4196,10952,15469
31159,2438,6490,9142
31161,340,2292,2672
31163,343,1322,1698
31165,72,642,729
31167,532,2561,3161
31169,624,2308,2980
31171,45,377,427
31173,1122,1180,2325
31175,412,1901,2340
31177,3554,8583,12413
31179,1022,3055,4200
31181,335,1511,1876
31183,59,438,502
31185,1630,5337,7143
32001,3048,9367,12881
32003,521777,430809,972308
32005,11570,21623,34117
32007,4555,16734,21957
32009,72,395,480
32011,104,887,1008
32013,1689,5877,7771
32015,496,2198,2765
32017,330,2067,2446
32019,8472,20906,30229
32021,824,1420,2327
32023,7287,17527,25376
32027,547,1731,2320
32029,900,1901,2868
32031,128052,116653,251956
32033,856,3400,4363
32510,12735,16113,29739
33001,16894,20899,38391
33003,16649,16150,33221
33005,25522,17898,44220
33007,7640,8617,16515
33009,33180,19905,53966
33011,122344,104625,230941
33013,48533,39711,89805
33015,100064,95858,198798
33017,41721,30489,73596
33019,12390,11508,24380
34001,73808,64438,140031
34003,285967,204417,495849
34005,154595,103345,261497
34007,175065,86207,264616
34009,23941,33158,57714
34011,32742,28952,62408
34013,266820,75475,345311
34015,86702,83340,172654
34017,181452,65698,249850
34019,39457,43153,84242
34021,122532,51641,176604
34023,226250,143467,374362
34025,181291,191808,378151
34027,153881,141134,299322
34029,119456,217740,341516
34031,129097,92009,223707
34033,14479,18827,33922
34035,111173,71996,185859
34037,34481,51698,87960
34039,170245,80002,252991
34041,24901,34769,60787
35001,193757,116135,317590
35003,595,1698,2326
35005,6381,15656,22443
35006,4745,3975,8903
35007,2611,3271,6016
35009,4307,10444,15101
35011,231,656,901
35013,47957,32802,82641
35015,5424,17454,23222
35017,7590,6553,14435
35019,1234,917,2189
35021,179,319,505
35023,823,1120,1974
35025,4061,16531,20918
35027,3194,6942,10306
35028,7554,4278,12293
35029,3563,4408,8103
35031,18029,7801,26486
35033,1745,903,2686
35035,8485,14521,23571
35037,1170,2634,3873
35039,10990,5408,16628
35041,1802,4634,6608
35043,40588,34174,76562
35045,18083,32874,52294
35047,7888,3421,11531
35049,62530,18329,82227
35051,2265,3542,5945
35053,3722,3255,7160
35055,13121,3715,17181
35057,2344,4772,7281
35059,383,1388,1789
35061,14263,17364,32277
36001,99474,51081,154727
36003,6048,14135,20895
36005,355374,67740,432399
36007,47010,43800,93494
36009,11879,22155,35018
36011,16149,19512,36760
36013,23087,34853,59770
36015,16636,21922,39711
36017,8290,13482,22417
36019,18364,16514,35637
36021,20386,14464,35781
36023,10369,10789,21892
36025,9143,13387,23074
36027,81443,66872,151889
36029,267174,197527,476787
36031,9947,8976,19470
36033,9253,9668,19420
36035,7931,15378,24072
36037,9625,18876,29431
36039,10346,14271,25320
36041,1178,2225,3489
36043,9937,18870,29560
36045,17307,25629,44129
36047,703310,202772,920380
36049,3824,8894,13036
36051,12477,18182,31656
36053,14807,18408,34266
36055,225746,145661,383499
36057,7977,12745,21246
36059,396504,326716,738369
36061,603040,85185,701405
36063,46029,56068,104866
36065,41567,57180,101696
36067,138894,90619,235686
36069,29025,29039,60085
36071,84684,84996,173305
36073,5587,12126,18314
36075,21143,32138,54852
36077,12975,14382,28223
36079,24953,29283,55318
36081,569038,212665,794498
36083,40969,36500,79962
36085,90997,123320,217899
36087,75802,73186,151381
36089,19361,24608,45267
36091,68471,61305,133556
36093,42465,30741,75381
36095,5345,9903,15810
36097,3903,5621,9799
36099,6914,8329,15718
36101,15790,29474,46516
36103,368000,375821,757877
36105,15489,18665,35132
36107,9634,14791,25170
36109,33619,11096,46048
36111,57970,37590,98160
36113,17642,17699,36394
36115,11565,15941,28256
36117,17456,26204,45031
36119,312371,144713,462265
36121,5073,13898,19483
36123,4219,6208,10788
37001,38825,46056,86091
37003,4145,15888,20236
37005,1486,4527,6076
37007,5789,5321,11194
37009,4164,11451,15814
37011,2191,7172,9458
37013,9633,16437,26315
37015,5939,3817,9815
37017,7326,9676,17125
37019,33310,55850,90175
37021,96515,62412,161569
37023,13118,31019,44602
37025,52162,63237,117227
37027,10245,32119,42829
37029,1537,4312,5953
37031,12093,30028,42695
37033,4860,7089,12051
37035,25689,56588,83425
37037,26787,21186,48599
37039,3583,12628,16423
37041,3247,4471,7784
37043,1699,5112,6893
37045,16955,33798,51308
37047,9446,16832,26446
37049,21148,31032,53065
37051,84469,60032,147150
37053,4195,11657,16147
37055,9936,13938,24232
37057,22636,64658,88514
37059,6713,18228,25311
37061,8767,13793,22715
37063,144688,32459,179914
37065,16089,9206,25477
37067,113033,85064,201270
37069,15879,20901,37351
37071,40959,73033,115498
37073,2546,3367,5971
37075,905,3710,4665
37077,14565,16647,31598
37079,3832,4874,8753
37081,173086,107294,284486
37083,15545,10080,25759
37085,22093,35177,58293
37087,13144,22834,36542
37089,27211,40032,68371
37091,7097,3479,10634
37093,11804,9453,21639
37095,1046,1418,2492
37097,33888,67010,102371
37099,9591,11356,21428
37101,41257,68353,111357
37103,2197,3280,5525
37105,12143,16469,29008
37107,13605,14590,28409
37109,13274,36341,50217
37111,5832,16883,23003
37113,6230,14211,20743
37115,4901,7979,13076
37117,5911,6532,12540
37119,378107,179211,567053
37121,1867,7090,9041
37123,4327,8411,12849
37125,20779,36764,58339
37127,25947,25827,52271
37129,66138,63331,131830
37131,6069,3989,10110
37133,24266,46078,72235
37135,63594,20176,84997
37137,2713,4849,7631
37139,9832,9770,19897
37141,11723,21956,34169
37143,2492,4903,7484
37145,8465,13184,21894
37147,47252,38982,87573
37149,4518,7689,12358
37151,15618,56894,73316
37153,8754,11830,20763
37155,19020,27806,47188
37157,15992,31301,47809
37159,23114,49297,73408
37161,9135,24891,34429
37163,10966,17411,28618
37165,7186,7473,14775
37167,8129,25458,33939
37169,5286,20142,25701
37171,8721,27538,36638
37173,2780,4161,7068
37175,8444,11636,20404
37177,758,1044,1817
37179,48725,80382,131011
37181,12431,8391,20999
37183,393336,226197,631830
37185,6400,3752,10293
37187,3396,2781,6205
37189,17122,14451,32220
37191,24215,30709,55537
37193,7511,27592,35466
37195,20754,19581,40735
37197,3763,15933,19923
37199,3688,7516,11352
38001,258,981,1269
38003,1820,3568,5565
38005,822,1094,1961
38007,72,541,635
38009,821,2575,3471
38011,228,1395,1657
38013,137,994,1155
38015,14348,34744,50753
38017,40311,42619,86053
38019,474,1499,2020
38021,608,1742,2424
38023,265,904,1202
38025,342,1951,2338
38027,383,854,1261
38029,237,1738,2009
38031,373,1362,1778
38033,137,871,1026
38035,12880,16987,30970
38037,207,1145,1381
38039,308,907,1250
38041,196,1091,1312
38043,221,1215,1460
38045,527,1645,2219
38047,128,930,1076
38049,564,2364,3003
38051,261,1153,1455
38053,814,4482,5419
38055,1230,4198,5536
38057,704,3856,4675
38059,3872,12243,16619
38061,1256,2824,4165
38063,586,1141,1777
38065,129,918,1066
38067,786,2460,3331
38069,497,1585,2128
38071,1639,3577,5372
38073,945,1418,2454
38075,220,1065,1319
38077,2510,5072,7812
38079,2482,1257,3804
38081,738,1266,2070
38083,104,688,812
38085,804,258,1186
38087,44,380,427
38089,2499,12110,15050
38091,392,652,1088
38093,2676,6994,9959
38095,317,830,1174
38097,1493,2522,4136
38099,1333,3324,4783
38101,7293,19974,28246
38103,442,1893,2374
38105,2169,11739,14334
39001,2156,9870,12145
39003,14149,33116,48006
39005,6541,19407,26405
39007,16497,26890,44147
39009,14772,10862,26059
39011,4651,20798,25777
39013,9138,23560,33088
39015,4380,16480,21096
39017,69613,114392,186737
39019,3251,10745,14212
39021,5062,14589,19972
39023,24076,39032,64212
39025,34092,74570,110480
39027,4697,15488,20527
39029,13359,35726,49860
39031,4125,12325,16739
39033,4916,15436,20686
39035,416176,202699,625670
39037,4731,22004,27134
39039,5981,13038,19381
39041,57735,66356,126070
39043,17493,22160,40335
39045,31224,50797,83311
39047,2975,9473,12612
39049,409144,211237,630577
39051,6664,15731,22770
39053,2990,10645,13799
39055,21201,34143,56021
39057,34798,52072,88643
39059,4577,13407,18230
39061,246266,177886,430929
39063,11757,26310,38771
39065,3062,9949,13247
39067,1768,5792,7655
39069,4062,10479,14764
39071,3799,15678,19676
39073,3880,9737,13824
39075,1994,10796,12947
39077,7759,18956,27190
39079,3311,11309,14794
39081,10018,22828,33362
39083,8589,22340,31398
39085,55514,73278,130509
39087,7489,20306,28127
39089,33055,59514,94210
39091,5055,17964,23368
39093,75667,79520,157437
39095,115411,81763,200623
39097,5698,13835,19855
39099,57641,59903,118966
39101,8269,19023,27818
39103,39800,64598,105825
39105,2492,8316,10951
39107,4030,19452,23761
39109,15663,41371,57972
39111,1605,5463,7148
39113,135064,129034,268505
39115,1725,5041,6847
39117,4048,14077,18457
39119,11971,27867,40465
39121,1170,5135,6343
39123,9008,14628,24007
39125,2213,7086,9467
39127,4098,12357,16675
39129,7304,20593,28271
39131,3110,9157,12412
39133,35661,45990,82872
39135,4493,17022,21809
39137,3195,16412,19921
39139,17640,41472,59975
39141,10557,22278,33299
39143,10596,18896,30074
39145,9080,22609,32047
39147,8266,17086,25810
39149,4465,20422,25258
39151,75904,111097,189879
39153,151668,124833,280473
39155,44519,55194,101001
39157,12889,30458,44015
39159,11141,21669,33445
39161,3067,11650,14965
39163,1331,4632,6030
39165,46069,87988,136100
39167,9243,22307,32031
39169,16660,36759,54283
39171,4842,13452,18651
39173,30617,35757,67597
39175,2733,8462,11390
40001,1387,5585,7108
40003,232,1978,2262
40005,765,4557,5389
40007,190,1968,2178
40009,1048,6767,7948
40011,688,3136,3901
40013,3323,12344,15976
40015,2670,7013,9859
40017,16742,43550,61940
40019,4470,14699,19479
40021,6027,11223,17714
40023,1082,4698,5832
40025,70,970,1054
40027,49827,66677,119778
40029,374,2091,2524
40031,13747,20905,35631
40033,393,2117,2572
40035,1217,4686,6032
40037,6577,23294,30505
40039,2369,8060,10691
40041,3472,13557,17245
40043,214,2124,2359
40045,162,1688,1873
40047,4919,16970,22430
40049,1865,8878,10922
40051,4144,18538,23101
40053,280,1916,2226
40055,328,1605,1973
40057,177,747,933
40059,136,1327,1487
40061,783,4165,5014
40063,919,3875,4857
40065,1646,6392,8221
40067,319,2026,2385
40069,738,3441,4251
40071,4040,12834,17249
40073,854,5521,6465
40075,699,2673,3427
40077,762,3437,4249
40079,3299,15213,18805
40081,2609,12013,14888
40083,5455,15608,21574
40085,711,3305,4076
40087,3582,15295,19236
40089,1858,9485,11467
40091,2031,6172,8335
40093,320,3084,3467
40095,1100,4891,6064
40097,3581,12749,16626
40099,1156,4612,5894
40101,8027,16526,25081
40103,1003,3821,4938
40105,712,3610,4391
40107,896,3058,4038
40109,141724,145050,294740
40111,4357,9668,14313
40113,6002,14121,20538
40115,2686,8545,11438
40117,1363,5267,6786
40119,10904,17813,29643
40121,3768,13851,17924
40123,4117,10805,15320
40125,7275,20240,28185
40127,668,4016,4739
40129,168,1629,1834
40131,9589,34031,44553
40133,2150,6011,8337
40135,3035,12113,15386
40137,3154,15560,19057
40139,894,4505,5521
40141,597,2076,2708
40143,108996,150574,266678
40145,8464,26165,35338
40147,5790,17076,23501
40149,598,4086,4777
40151,591,2993,3678
40153,1005,6611,7785
41001,2346,7352,9932
41003,35827,14878,52799
41005,139043,110509,257679
41007,12916,10218,23910
41009,13835,17150,32221
41011,14243,21829,37075
41013,3801,11287,15448
41015,6058,8484,14925
41017,65962,55646,125234
41019,19160,43298,64349
41021,324,834,1178
41023,929,3545,4596
41025,894,3475,4481
41027,8764,3955,13090
41029,59478,63869,127165
41031,4393,7189,11913
41033,18451,31751,51641
41035,10388,25308,36726
41037,792,3470,4363
41039,134366,80336,222253
41041,17385,12460,30726
41043,26512,43486,72640
41045,3260,8187,11804
41047,80872,79002,165534
41049,1371,3586,5118
41051,367249,82995,463659
41053,22917,23732,48291
41055,260,921,1208
41057,8066,8354,16888
41059,10707,21270,33038
41061,4254,10298,14944
41063,1625,3404,5149
41065,6604,7035,14130
41067,209940,99073,320326
41069,217,711,965
41071,27174,29551,58923
42001,18207,37523,56540
42003,429065,282324,719733
42005,8457,27489,36370
42007,38122,54759,94122
42009,4367,23025,27574
42011,92895,109736,205540
42013,17636,45306,63595
42015,8046,21600,30159
42017,204712,187367,396234
42019,37508,74359,113305
42021,21730,48085,70574
42023,634,1771,2434
42025,11212,21984,33629
42027,40055,36372,77493
42029,182372,128565,314502
42031,4678,14578,19493
42033,9673,29203,39422
42035,5502,11902,17625
42037,10532,20098,31171
42039,12924,28559,42004
42041,62245,77212,141595
42043,78983,66408,147368
42045,206423,118532,327931
42047,4522,12140,16906
42049,68286,66869,137083
42051,20444,41227,62139
42053,728,1882,2646
42055,22422,57245,80783
42057,1085,6824,7977
42059,4911,12579,17669
42061,5445,17061,22792
42063,12634,28089,41198
42065,4527,17960,22824
42067,2253,9649,12043
42069,61991,52334,115410
42071,115847,160209,280239
42073,15978,29597,46076
42075,23932,46731,71652
42077,98288,84259,184713
42079,64873,86929,153321
42081,16971,41462,59254
42083,5098,14083,19466
42085,21067,36143,57954
42087,4603,16670,21502
42089,44060,38726,83829
42091,319511,185460,510157
42093,3771,5844,9771
42095,85087,83854,170942
42097,12677,28952,42283
42099,5950,18293,24652
42101,603790,132740,741377
42103,13019,19213,32554
42105,1726,7239,9064
42107,20727,48871,70603
42109,4910,13983,19140
42111,8654,31466,40543
42113,921,2619,3595
42115,6236,15207,21752
42117,4955,15742,21075
42119,7475,12356,20115
42121,7585,18569,26528
42123,6066,14237,20650
42125,45088,72080,118478
42127,9191,18637,28089
42129,72129,130218,204697
42131,4704,9936,14858
42133,88114,146733,238471
44001,18050,9745,28415
44003,49113,42001,93093
44005,29486,15722,46148
44007,165012,102551,272667
44009,44549,29818,76060
45001,4101,8215,12433
45003,32275,51589,85185
45005,2718,835,3593
45007,27169,67565,96093
45009,4010,2417,6482
45011,4720,5492,10321
45013,43419,53194,97835
45015,45223,57397,104458
45017,3905,4305,8291
45019,121485,93297,218857
45021,6983,18043,25270
45023,6941,8660,15757
45025,7431,11297,18876
45027,8250,8361,16733
45029,8602,10440,19283
45031,15220,16832,32417
45033,6436,6582,13101
45035,33824,41913,77278
45037,4953,8184,13304
45039,7382,4625,12136
45041,31153,32615,64510
45043,15822,20487,36668
45045,103030,150021,258155
45047,12145,19431,32006
45049,5323,3906,9305
45051,59180,118821,179744
45053,7185,7078,14394
45055,12699,20471,33629
45057,18937,30312,49868
45059,10159,20004,30488
45061,5329,3008,8431
45063,49301,92817,144568
45065,2687,2958,5697
45067,8872,5711,14704
45069,6290,5044,11446
45071,6958,11443,18631
45073,10414,29698,40668
45075,27295,13603,41205
45077,13645,42907,57546
45079,132570,58313,193822
45081,2963,6210,9274
45083,52926,93560,148655
45085,27379,21000,48920
45087,4935,8183,13257
