county_fip,democrat_votes,republican_votes,other_votes
8019,3604,2754,6548
8021,1959,2286,4333
8023,1311,741,2094
8025,437,1271,1750
8027,1112,2474,3635
8029,5887,13081,19370
8031,313293,71618,393829
8033,341,1089,1449
8035,104653,121270,231605
8037,18588,9892,29140
8039,4490,14027,18983
8041,161941,202828,378851
8043,7369,17517,25557
8045,15427,14717,30904
8047,2223,1833,4186
8049,4710,4883,9870
8051,7132,3735,11190
8053,255,353,632
8055,2076,2203,4406
8057,175,681,876
8059,218396,148417,377358
8061,98,795,903
8063,662,3144,3871
8065,2303,1497,3961
8067,20548,14233,35667
8069,126120,91489,224338
8071,3497,4284,7961
8073,470,2135,2651
8075,2218,8087,10532
8077,31536,56894,90623
8079,317,427,756
8081,1203,5670,7026
8083,5836,9306,15500
8085,7687,16770,24922
8087,3876,9593,13744
8089,3605,5756,9576
8091,2365,1577,4020
8093,4903,6991,12291
8095,486,1958,2485
8097,8989,2780,11957
8099,1458,4008,5561
8101,43772,42252,88301
8103,561,3061,3691
8105,2495,3660,6305
8107,10582,5925,16876
8109,1884,1413,3389
8111,342,202,562
8113,3924,1136,5147
8115,301,1121,1446
8117,12631,5322,18479
8119,5278,11241,16939
8121,369,2595,3008
8123,66060,96145,166974
8125,785,4107,4981
9001,297505,168445,472396
9003,283368,159024,449336
9005,50164,55601,107544
9007,56848,40665,99198
9009,242630,169893,417983
9011,79459,57110,139604
9013,44151,34838,80714
9015,26706,29141,57082
10001,44552,41009,87025
10003,195034,88364,287633
10005,56682,71230,129352
11001,317323,18586,344356
12001,89704,50972,142604
12003,2037,11911,14059
12005,25614,66097,93024
12007,3160,10334,13632
12009,148549,207883,360764
12011,618752,333409,957672
12013,1209,5274,6526
12015,42273,73243,116340
12017,27092,65352,93208
12019,38317,84480,124405
12021,77621,128950,207818
12023,8914,23836,33042
12027,4259,8313,12659
12029,1365,6759,8167
12031,252556,233762,492820
12033,70929,96674,170372
12035,28161,43043,71716
12037,2120,4675,6849
12039,16153,7465,23762
12041,1700,7895,9685
12043,1385,3782,5193
12045,1985,6113,8163
12047,1963,3815,5830
12049,2298,6122,8485
12051,4929,7906,12940
12053,37519,70412,108922
12055,16938,34873,52170
12057,376367,327398,712063
12059,924,8080,9068
12061,37844,58872,97484
12063,6766,15488,22419
12065,3897,4479,8451
12067,510,3128,3658
12069,83505,125859,211314
12071,157695,233247,393899
12073,103517,57453,162929
12075,6205,16749,23145
12077,694,2846,3561
12079,3747,5576,9380
12081,90166,124987,216958
12083,74858,127826,204376
12085,36893,61168,98726
12086,617864,532833,1156816
12087,21881,25693,48029
12089,15564,42566,58811
12091,34248,79798,116373
12093,4390,11470,15954
12095,395014,245398,647403
12097,97297,73480,172436
12099,433572,334711,773158
12101,119073,179621,301970
12103,277450,276209,559715
12105,145049,194586,343256
12107,10527,25514,36373
12109,63850,110946,176622
12111,84137,86831,172169
12113,27612,77385,106928
12115,120110,148370,270575
12117,132528,125241,260815
12119,29341,62761,92485
12121,4485,16410,21057
12123,2299,7751,10127
12125,1053,5133,6245
12127,130575,173821,307439
12129,5351,12874,18404
12131,10338,32947,43711
12133,2347,9876,12327
13001,1779,6526,8341
13003,825,2300,3155
13005,625,4018,4668
13007,652,897,1555
13009,9140,8903,18251
13011,932,7795,8801
13013,10453,26804,37921
13015,12092,37674,50467
13017,2392,4110,6560
13019,1269,6419,7743
13021,43468,26585,70802
13023,1311,4328,5706
13025,699,6991,7746
13027,2790,4260,7100
13029,6739,14244,21340
13031,11243,18386,30084
13033,5209,5400,10684
13035,3274,8406,11771
13037,1260,923,2194
13039,7967,15251,23688
13043,1269,3133,4431
13045,16238,37476,54474
13047,6932,25167,32593
13049,1103,3419,4566
13051,78254,53237,133420
13053,667,880,1582
13055,1854,8064,10050
13057,42794,99587,144830
13059,36048,14446,51333
13061,790,637,1434
13063,95476,15813,112344
13065,747,2105,2864
13067,221846,165459,393746
13069,4511,10578,15214
13071,4187,11777,16083
13073,29236,50013,80579
13075,2059,4900,7035
13077,24210,51501,76799
13079,1615,4428,6102
13081,2986,4987,8039
13083,1261,6066,7434
13085,2486,13398,16081
13087,4780,6758,11627
13089,308227,58373,370804
13091,2171,5843,8070
13093,1911,2159,4105
13095,24577,10454,35311
13097,42809,25451,69097
13099,2437,2722,5187
13101,167,1256,1441
13103,7720,23358,31570
13105,2879,6226,9171
13107,2884,6551,9501
13109,1324,2888,4247
13111,2571,12169,14850
13113,33065,37952,71993
13115,12008,29123,41648
13117,42203,85122,129305
13119,1593,9069,10765
13121,381144,137240,524659
13123,2932,13429,16525
13125,155,1403,1566
13127,15879,25616,41984
13129,4384,19405,24033
13131,3619,7034,10707
13133,4088,7068,11247
13135,241827,166413,413865
13137,3563,16637,20432
13139,25031,64170,90523
13141,2985,1159,4165
13143,1792,12331,14248
13145,5457,14319,19991
13147,3157,9464,12727
13149,824,4516,5391
13151,73276,48187,122742
13153,32232,41534,74823
13155,1008,3134,4168
13157,7642,29497,37670
13159,1761,5822,7644
13161,1028,4695,5771
13163,4061,3537,7642
13165,1266,2161,3455
13167,1222,2850,4100
13169,4888,9965,14966
13171,2615,6330,9039
13173,1019,2509,3576
13175,8073,14493,22729
13177,4558,12007,16714
13179,13099,7959,21389
13181,1435,3179,4650
13183,2033,3528,5656
13185,20117,25691,46355
13187,3126,12163,15531
13189,4168,6169,10455
13191,2612,4016,6696
13193,2857,1783,4662
13195,3411,11326,14937
13197,1311,2275,3624
13199,4287,6524,10877
13201,749,2066,2835
13205,3995,4935,8963
13207,4384,11060,15592
13209,979,2960,3966
13211,3355,8230,11707
13213,2302,12943,15389
13215,49529,30049,80543
13217,29794,23869,54239
13219,8162,16595,25168
13221,2436,5593,8131
13223,29704,54525,85385
13225,5920,6502,12545
13227,2808,14075,17116
13229,1100,7899,9048
13231,1505,9127,10720
13233,3658,13589,17399
13235,1217,2805,4059
13237,3448,8291,11855
13239,497,604,1106
13241,1984,7474,9568
13243,1671,1391,3074
13245,59124,26781,87016
