state,county,race_ethnicity_ancestry,religion,sexual_orientation,disability,gender,gender_identity,num_crimes,county_fips
Virginia,Amherst,2,0,0,0,0,0,2,51009
Virginia,Amelia,0,0,1,0,0,0,1,51007
Virginia,Albemarle,1,0,1,0,0,0,2,51003
Virginia,Accomack,1,0,0,0,0,0,1,51001
Vermont,Windsor,1,0,1,0,0,0,2,50027
Vermont,Windham,0,0,0,0,0,1,1,50025
Vermont,Washington,4,0,0,0,0,0,4,50023
Vermont,Rutland,2,0,2,0,0,0,4,50021
Vermont,Orleans,1,0,1,0,0,0,2,50019
Vermont,Franklin,1,0,0,0,0,0,1,50011
Vermont,Chittenden,5,3,4,0,0,0,12,50007
Vermont,Bennington,3,1,1,0,0,0,5,50003
Utah,Weber,2,1,2,0,0,0,5,49057
Utah,Washington,0,1,0,0,0,0,1,49053
Utah,Salt Lake,7,2,1,0,0,0,10,49035
Utah,Grand,0,0,1,0,0,0,1,49019
Utah,Duchesne,1,0,0,0,0,0,1,49013
Utah,Davis,6,0,0,0,0,0,6,49011
Texas,Wise,1,0,0,1,0,0,2,48497
Texas,Wilson,3,0,0,0,0,0,3,48493
Texas,Williamson,7,3,3,3,0,0,16,48491
Texas,Wilbarger,4,0,0,0,0,0,4,48487
Texas,Wichita,2,1,0,0,0,0,3,48485
Texas,Wharton,1,0,0,0,0,0,1,48481
Texas,Webb,1,0,0,3,1,0,5,48479
Texas,Washington,3,1,0,0,0,0,4,48477
Texas,Ward,4,0,0,0,0,0,4,48475
Texas,Victoria,1,0,0,0,0,0,1,48469
Texas,Travis,11,4,3,0,0,1,19,48453
Texas,Taylor,0,0,3,0,0,0,3,48441
Texas,Tarrant,32,2,9,0,0,0,43,48439
Texas,Stephens,1,0,0,0,0,0,1,48429
Texas,Starr,3,1,0,0,0,0,4,48427
Texas,Smith,2,0,0,0,0,1,3,48423
Texas,Rusk,3,1,0,0,0,0,4,48401
Texas,Runnels,1,0,0,0,0,0,1,48399
Texas,Rockwall,3,1,1,0,0,0,5,48397
Texas,Randall,0,0,1,0,0,0,1,48381
Texas,Potter,1,0,0,0,0,0,1,48375
Texas,Polk,1,2,1,0,0,0,4,48373
Texas,Parker,2,0,0,0,0,0,2,48367
Texas,Orange,2,0,0,0,0,0,2,48361
Texas,Nueces,1,0,0,0,0,0,1,48355
Texas,Nolan,1,0,0,0,0,0,1,48353
Texas,Nacogdoches,0,0,1,0,0,0,1,48347
Texas,Moore,2,0,0,0,0,0,2,48341
Texas,Montgomery,1,1,0,0,0,0,2,48339
Texas,Milam,2,0,0,0,0,0,2,48331
Texas,McLennan,5,1,0,0,0,0,6,48309
Texas,McCulloch,2,0,0,0,0,0,2,48307
Texas,Lynn,0,0,0,1,0,0,1,48305
Texas,Lubbock,1,0,2,0,0,0,3,48303
Texas,Llano,0,0,0,0,0,1,1,48299
Texas,Leon,2,0,0,0,0,0,2,48289
Texas,Lee,1,0,0,0,0,0,1,48287
Texas,Lampasas,2,0,0,0,0,0,2,48281
Texas,Kleberg,0,0,0,0,1,0,1,48273
Texas,Kerr,1,0,0,0,0,0,1,48265
Texas,Kendall,1,0,0,0,0,0,1,48259
Texas,Johnson,5,0,1,0,0,0,6,48251
Texas,Jefferson,5,0,0,0,0,3,8,48245
Texas,Hutchinson,1,0,0,0,0,0,1,48233
Texas,Hunt,5,0,0,0,0,0,5,48231
Texas,Hudspeth,10,1,0,0,0,0,11,48229
Texas,Houston,6,1,0,2,0,1,10,48225
Texas,Hood,0,1,0,0,0,0,1,48221
Texas,Hockley,1,0,0,0,0,0,1,48219
Texas,Hill,2,0,0,0,0,0,2,48217
Texas,Hidalgo,22,1,1,0,0,0,24,48215
Texas,Henderson,1,0,0,0,0,0,1,48213
Texas,Hays,2,0,1,0,0,0,3,48209
Texas,Harris,34,4,12,5,2,4,61,48201
Texas,Hardin,1,0,0,0,0,0,1,48199
Texas,Hamilton,0,1,0,0,0,1,2,48193
Texas,Gregg,6,1,1,0,0,0,8,48183
Texas,Galveston,1,0,2,1,0,0,4,48167
Texas,Fort Bend,3,2,0,0,0,0,5,48157
Texas,Floyd,1,0,0,0,0,0,1,48153
Texas,Fayette,1,1,0,0,0,0,2,48149
Texas,El Paso,6,4,0,0,0,0,10,48141
Texas,Ellis,1,1,0,0,0,1,3,48139
Texas,Ector,3,0,2,1,0,0,6,48135
Texas,Duval,1,0,0,0,0,0,1,48131
Texas,Dickens,2,0,0,0,0,0,2,48125
Texas,Denton,4,2,2,0,1,0,9,48121
Texas,Dallas,27,5,16,1,0,2,51,48113
Texas,Crockett,1,0,0,0,0,0,1,48105
Texas,Coryell,0,1,0,0,0,0,1,48099
Texas,Cooke,1,0,0,0,0,0,1,48097
Texas,Comal,5,0,1,0,1,1,8,48091
Texas,Collin,3,1,0,0,0,0,4,48085
Texas,Cherokee,2,0,0,0,0,1,3,48073
Texas,Chambers,1,0,0,0,0,0,1,48071
Texas,Cameron,2,2,1,0,0,0,5,48061
Texas,Burnet,0,0,1,0,0,0,1,48053
Texas,Brown,1,0,0,0,0,0,1,48049
Texas,Brazos,2,0,0,0,0,0,2,48041
Texas,Brazoria,5,0,1,0,0,0,6,48039
Texas,Bexar,6,1,6,0,0,0,13,48029
Texas,Bell,0,0,0,0,1,0,1,48027
Texas,Bee,0,0,0,1,0,0,1,48025
Texas,Bastrop,3,0,0,0,0,0,3,48021
Texas,Bailey,0,1,0,0,0,1,2,48017
Texas,Austin,2,0,0,0,0,0,2,48015
Texas,Atascosa,2,0,0,0,0,0,2,48013
Texas,Anderson,4,0,0,0,0,1,5,48001
Tennessee,Wilson,4,0,0,0,0,0,4,47189
Tennessee,Washington,5,0,0,0,0,0,5,47179
Tennessee,Warren,1,0,0,0,0,0,1,47177
Tennessee,Tipton,1,1,0,1,0,0,3,47167
Tennessee,Sumner,1,0,0,0,0,0,1,47165
Tennessee,Sullivan,1,3,1,0,0,0,5,47163
Tennessee,Shelby,5,3,1,0,0,0,9,47157
Tennessee,Sevier,2,0,0,0,0,0,2,47155
Tennessee,Rutherford,0,0,1,0,0,0,1,47149
Tennessee,Robertson,2,1,0,0,0,0,3,47147
Tennessee,Roane,1,0,0,0,0,0,1,47145
Tennessee,Putnam,0,0,0,0,1,0,1,47141
Tennessee,Overton,0,1,0,0,0,0,1,47133
Tennessee,Montgomery,1,0,0,0,0,0,1,47125
Tennessee,Monroe,1,0,0,0,0,0,1,47123
Tennessee,Maury,2,0,0,0,0,0,2,47119
Tennessee,McMinn,1,0,0,0,0,0,1,47107
Tennessee,Knox,6,2,2,0,0,0,10,47093
Tennessee,Johnson,1,0,0,0,0,0,1,47091
Tennessee,Hickman,1,0,0,0,0,0,1,47081
Tennessee,Henderson,1,0,0,0,0,0,1,47077
Tennessee,Hamblen,2,0,0,0,0,0,2,47063
Tennessee,Greene,1,0,0,0,0,0,1,47059
Tennessee,Gibson,1,0,0,0,0,0,1,47053
Tennessee,Dyer,1,1,0,0,0,0,2,47045
Tennessee,Dickson,1,0,0,0,0,0,1,47043
Tennessee,DeKalb,1,0,0,0,0,0,1,47041
Tennessee,Davidson,3,2,1,0,0,0,6,47037
Tennessee,Bradley,9,0,1,0,0,0,10,47011
Tennessee,Blount,4,1,0,0,0,1,6,47009
Tennessee,Anderson,0,0,1,0,0,0,1,47001
South Dakota,Walworth,1,0,0,0,0,0,1,46129
South Dakota,Stanley,1,0,0,0,0,0,1,46117
South Dakota,Pennington,3,0,1,0,0,0,4,46103
South Dakota,Moody,0,1,0,0,0,0,1,46101
South Dakota,Minnehaha,3,2,2,0,0,0,7,46099
South Dakota,Lincoln,1,0,0,0,0,0,1,46083
South Dakota,Davison,0,0,1,0,0,0,1,46035
South Dakota,Codington,1,0,0,0,0,0,1,46029
South Dakota,Brown,1,0,0,0,0,0,1,46013
South Dakota,Bennett,1,0,0,0,0,0,1,46007
South Dakota,Beadle,1,0,0,0,0,0,1,46005
South Carolina,York,3,0,1,1,0,0,5,45091
South Carolina,Spartanburg,4,3,0,0,0,0,7,45083
South Carolina,Richland,1,0,0,0,0,0,1,45079
South Carolina,Pickens,1,0,0,0,0,0,1,45077
South Carolina,Orangeburg,2,0,0,0,0,0,2,45075
South Carolina,Marlboro,2,0,0,0,1,0,3,45069
South Carolina,Lexington,1,0,1,0,0,0,2,45063
South Carolina,Horry,2,1,0,0,0,0,3,45051
South Carolina,Greenwood,0,1,0,0,0,0,1,45047
South Carolina,Greenville,2,0,1,0,0,0,3,45045
South Carolina,Florence,3,0,0,0,0,0,3,45041
South Carolina,Dorchester,1,1,0,0,0,0,2,45035
South Carolina,Dillon,2,0,0,0,0,0,2,45033
South Carolina,Darlington,0,0,1,0,1,0,2,45031
South Carolina,Colleton,2,0,1,0,0,0,3,45029
South Carolina,Cherokee,1,0,0,0,0,0,1,45021
South Carolina,Charleston,2,2,2,0,0,0,6,45019
South Carolina,Calhoun,1,0,0,0,0,0,1,45017
South Carolina,Berkeley,2,9,0,0,0,0,11,45015
South Carolina,Beaufort,2,1,0,0,0,1,4,45013
South Carolina,Barnwell,1,0,0,0,0,0,1,45011
South Carolina,Bamberg,0,2,0,0,0,0,2,45009
South Carolina,Abbeville,1,0,0,0,0,0,1,45001
Rhode Island,Providence,3,4,8,0,0,0,15,44007
Rhode Island,Kent,0,1,0,0,0,0,1,44003
Pennsylvania,Venango,1,0,0,0,0,0,1,42121
Pennsylvania,Susquehanna,1,0,0,0,0,0,1,42115
Pennsylvania,Philadelphia,9,4,1,0,0,0,14,42101
Pennsylvania,Dauphin,1,0,0,0,0,0,1,42043
Pennsylvania,Cumberland,3,1,0,0,0,0,4,42041
Pennsylvania,Chester,1,1,0,0,0,0,2,42029
Pennsylvania,Centre,2,0,0,0,0,0,2,42027
Pennsylvania,Cambria,2,0,0,0,0,0,2,42021
Pennsylvania,Bradford,0,1,0,0,0,0,1,42015
Pennsylvania,Berks,5,0,0,0,0,0,5,42011
Pennsylvania,Allegheny,6,2,3,0,0,0,11,42003
Oregon,Yamhill,1,0,0,0,0,0,1,41071
Oregon,Washington,15,2,10,0,0,1,28,41067
Oregon,Union,0,0,1,0,0,0,1,41061
Oregon,Umatilla,1,1,1,0,0,0,3,41059
Oregon,Multnomah,26,4,5,0,1,3,39,41051
Oregon,Marion,1,0,0,1,0,1,3,41047
Oregon,Malheur,1,0,0,0,0,0,1,41045
Oregon,Lincoln,0,1,0,0,0,0,1,41041
Oregon,Lane,29,12,3,0,1,1,46,41039
Oregon,Klamath,1,0,0,0,0,0,1,41035
Oregon,Jefferson,2,0,0,0,0,0,2,41031
Oregon,Jackson,3,1,0,0,0,0,4,41029
Oregon,Hood River,1,0,0,0,0,0,1,41027
Oregon,Douglas,0,1,0,0,0,0,1,41019
Oregon,Deschutes,5,4,0,0,0,0,9,41017
Oregon,Coos,10,1,2,1,0,0,14,41011
Oregon,Columbia,1,0,0,0,0,0,1,41009
Oregon,Clatsop,1,0,0,0,0,0,1,41007
Oregon,Clackamas,17,2,4,0,0,0,23,41005
Oregon,Benton,1,0,0,0,0,0,1,41003
Oregon,Baker,1,0,0,0,0,0,1,41001
Oklahoma,Washita,0,0,1,0,0,0,1,40149
Oklahoma,Wagoner,0,0,1,0,0,0,1,40145
Oklahoma,Tulsa,1,0,3,0,0,0,4,40143
Oklahoma,Sequoyah,1,0,1,0,0,0,2,40135
Oklahoma,Seminole,1,0,0,0,0,0,1,40133
Oklahoma,Roger Mills,1,0,0,0,0,0,1,40129
Oklahoma,Pittsburg,0,1,0,0,0,0,1,40121
Oklahoma,Payne,1,0,0,0,0,0,1,40119
Oklahoma,Pawnee,1,0,0,0,0,0,1,40117
Oklahoma,Oklahoma,4,1,1,0,0,0,6,40109
Oklahoma,Murray,0,0,1,0,0,0,1,40099
Oklahoma,Major,0,1,0,0,0,0,1,40093
Oklahoma,Logan,2,0,0,0,0,0,2,40083
Oklahoma,Grady,0,0,1,0,0,0,1,40051
Oklahoma,Garvin,1,0,0,0,0,0,1,40049
Oklahoma,Delaware,1,0,0,0,0,0,1,40041
Oklahoma,Creek,0,1,0,0,0,0,1,40037
Oklahoma,Craig,0,0,0,1,0,0,1,40035
Oklahoma,Cleveland,1,2,0,0,0,0,3,40027
Ohio,Wood,1,0,0,0,0,0,1,39173
Ohio,Wayne,4,0,0,2,0,0,6,39169
Ohio,Washington,0,0,0,1,0,0,1,39167
Ohio,Warren,2,0,0,0,0,1,3,39165
Ohio,Vinton,1,0,0,0,0,0,1,39163
Ohio,Van Wert,1,0,0,0,0,0,1,39161
Ohio,Union,1,0,0,0,0,0,1,39159
Ohio,Tuscarawas,3,1,0,0,0,1,5,39157
Ohio,Trumbull,1,0,0,1,0,0,2,39155
Ohio,Summit,4,0,3,9,0,0,16,39153
Ohio,Stark,4,1,0,1,0,0,6,39151
Ohio,Scioto,1,0,2,0,0,0,3,39145
Ohio,Ross,10,0,0,0,0,0,10,39141
Ohio,Richland,2,0,1,1,0,0,4,39139
Ohio,Preble,0,0,0,0,1,0,1,39135
Ohio,Portage,0,0,0,1,0,0,1,39133
Ohio,Pike,0,1,0,0,0,0,1,39131
Ohio,Pickaway,3,0,0,0,0,0,3,39129
Ohio,Muskingum,3,0,4,1,0,0,8,39119
Ohio,Morgan,1,0,0,0,0,0,1,39115
Ohio,Montgomery,19,1,2,4,0,2,28,39113
Ohio,Miami,1,0,0,0,0,0,1,39109
Ohio,Medina,1,0,2,0,0,0,3,39103
Ohio,Mahoning,1,0,1,0,0,0,2,39099
Ohio,Lucas,6,0,2,0,0,0,8,39095
Ohio,Lorain,4,0,1,0,1,1,7,39093
Ohio,Logan,0,0,1,0,0,0,1,39091
Ohio,Licking,1,0,2,0,0,0,3,39089
Ohio,Lawrence,0,0,1,0,0,0,1,39087
Ohio,Lake,2,0,0,1,0,0,3,39085
Ohio,Knox,3,1,0,0,0,0,4,39083
Ohio,Hocking,0,1,0,0,0,0,1,39073
Ohio,Highland,0,0,1,0,0,0,1,39071
Ohio,Henry,2,0,0,0,0,0,2,39069
Ohio,Hardin,0,1,0,1,0,0,2,39065
Ohio,Hancock,0,1,0,0,0,0,1,39063
Ohio,Hamilton,38,1,4,3,0,1,47,39061
Ohio,Geauga,1,0,0,0,0,0,1,39055
Ohio,Fulton,0,0,1,0,0,0,1,39051
Ohio,Franklin,47,11,14,8,1,8,89,39049
Ohio,Fairfield,1,0,1,0,0,0,2,39045
Ohio,Delaware,1,0,1,0,0,0,2,39041
Ohio,Defiance,1,0,1,0,0,3,5,39039
Ohio,Darke,1,0,0,0,0,0,1,39037
Ohio,Cuyahoga,23,7,8,7,4,3,52,39035
Ohio,Coshocton,1,1,0,0,0,0,2,39031
Ohio,Columbiana,1,0,1,6,0,0,8,39029
Ohio,Clinton,4,0,0,0,0,0,4,39027
Ohio,Clermont,0,1,0,0,0,0,1,39025
Ohio,Champaign,2,0,0,3,0,0,5,39021
Ohio,Butler,10,1,3,4,0,1,19,39017
Ohio,Auglaize,2,0,0,0,0,0,2,39011
